index,id,title,soup,vote_count,poster_path,overview
0,615656,Meg 2: The Trench,based on novel or book sequel kaiju Action Science Fiction Horror JasonStatham WuJing ShuyaSophiaCai SergioPeris Mencheta BenWheatley,1365.0,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.
1,758323,The Pope's Exorcist,spain rome italy vatican pope pig possession conspiracy devil exorcist skepticism catholic priest 1980s supernatural horror Horror Mystery Thriller RussellCrowe DanielZovatto AlexEssoe FrancoNero PeterDeSouza JuliusAvery,545.0,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.
2,667538,Transformers: Rise of the Beasts,peru alien end of the world based on cartoon based on toy robot duringcreditsstinger 1990s brother brother relationship Action Adventure Science Fiction AnthonyRamos DominiqueFishback LunaLaurenVelez DeanScottVazquez TobeNwigwe StevenCapleJr.,1007.0,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.
3,640146,Ant-Man and the Wasp: Quantumania,hero ant sequel superhero based on comic family superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) Action Adventure Science Fiction PaulRudd EvangelineLilly JonathanMajors KathrynNewton MichellePfeiffer PeytonReed,2811.0,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.
4,677179,Creed III,philadelphia pennsylvania husband wife relationship deaf sports sequel orphan former best friend ex con childhood friends juvenile detention center boxing prodigy Drama Action MichaelB.Jordan TessaThompson JonathanMajors WoodHarris PhyliciaRashād MichaelB.Jordan,1129.0,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.
5,385687,Fast X,sequel revenge racing family cliffhanger cars Action Crime Thriller VinDiesel MichelleRodriguez TyreseGibson Ludacris JohnCena LouisLeterrier,3694.0,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,Over many missions and against impossible odds Dom Toretto and his family have outsmarted out-nerved and outdriven every foe in their path. Now they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge and who is determined to shatter this family and destroy everything—and everyone—that Dom loves forever.
6,614479,Insidious: The Red Door,sequel demon franchise insidious supernatural horror evil spirits directorial debut fifth part Horror Mystery Thriller TySimpkins PatrickWilson SinclairDaniel RoseByrne LinShaye PatrickWilson,564.0,/azTC5osYiqei1ofw6Z3GmUrxQbi.jpg,To put their demons to rest once and for all Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.
7,298618,The Flash,secret identity hero superhero based on comic superhuman super power aftercreditsstinger butterfly effect dc extended universe (dceu) superhuman abilities loss of mother Action Adventure Science Fiction EzraMiller SashaCalle MichaelKeaton MichaelShannon RonLivingston AndyMuschietti,1979.0,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,When his attempt to save his family inadvertently alters the future Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?
8,646389,Plane,pilot airplane philippines held hostage plane crash Action Adventure Thriller GerardButler MikeColter YosonAn TonyGoldwyn DaniellaPineda Jean-FrançoisRichet,785.0,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,After a heroic job of successfully landing his storm-damaged aircraft in a war zone a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.
9,569094,Spider-Man: Across the Spider-Verse,sacrifice villain comic book sequel superhero based on comic alternate dimension alternate version super power brooklyn new york city superhero team spider bite super villain cliffhanger teen superhero alternate universe female superhero cartoon spider Action Adventure Animation Science Fiction ShameikMoore HaileeSteinfeld BrianTyreeHenry LunaLaurenVelez JakeJohnson JoaquimDosSantos,1684.0,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,After reuniting with Gwen Stacy Brooklyn’s full-time friendly neighborhood Spider-Man is catapulted across the Multiverse where he encounters the Spider Society a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.
10,934433,Scream VI,new york city mask trauma halloween college fake identity sequel revenge public murder murder gore serial killer conspiracy theory social commentary police corruption slasher whodunit multiple stabbings brutality killing spree self referential crime spree aftercreditsstinger sisterhood movie fan copycat killer masked villain stabbed to death sister sister relationship fbi agent post credit scene masked killer Horror Mystery Thriller MelissaBarrera JennaOrtega JasminSavoyBrown MasonGooding RogerJackson MattBettinelli-Olpin,1007.0,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,Following the latest Ghostface killings the four survivors leave Woodsboro behind and start a fresh chapter.
11,575264,Mission: Impossible - Dead Reckoning Part One,rome italy chase secret agent race against time sequel intelligence agency rogue agent based on tv series secret government agency northern norway Action Thriller TomCruise HayleyAtwell VingRhames SimonPegg RebeccaFerguson ChristopherMcQuarrie,1748.0,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in a deadly race around the globe begins. Confronted by a mysterious all-powerful enemy Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.
14,594767,Shazam! Fury of the Gods,superhero end of the world super power aftercreditsstinger duringcreditsstinger dc extended universe (dceu) teenager Action Comedy Fantasy Adventure ZacharyLevi AsherAngel JackDylanGrazer RachelZegler AdamBrody DavidF.Sandberg,1602.0,/A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,"Billy Batson and his foster siblings who transform into superheroes by saying ""Shazam!"" are forced to get back into action and fight the Daughters of Atlas who they must stop from using a weapon that could destroy the world."
15,455476,Knights of the Zodiac,superhero based on manga live action anime Fantasy Action Adventure Mackenyu MadisonIseman DiegoTinoco MarkDacascos NickStahl TomekBaginski,471.0,/tBiUXvCqz34GDeuY7jK14QQdtat.jpg,When a headstrong street orphan Seiya in search of his abducted sister unwittingly taps into hidden powers he discovers he might be the only person alive who can protect a reincarnated goddess sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?
16,968051,The Nun II,france bullying sequel religion demon gothic horror demonic possession praying duringcreditsstinger all girls school 1950s demonic convent the conjuring universe Horror Mystery Thriller TaissaFarmiga JonasBloquet StormReid AnnaPopplewell BonnieAarons MichaelChaves,1073.0,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg,In 1956 France a priest is violently murdered and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.
20,868759,Ghosted,secret agent Romance Action Comedy ChrisEvans AnadeArmas AdrienBrody MikeMoh TateDonovan DexterFletcher,425.0,/liLN69YgoovHVgmlHJ876PKi5Yi.jpg,Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date Cole and Sadie are swept away on an international adventure to save the world.
21,697843,Extraction 2,mercenary sequel rescue mission long take based on graphic novel Action Thriller ChrisHemsworth GolshiftehFarahani AdamBessa TornikeGogrichiani TornikeBziava SamHargrave,1198.0,/7gKI9hpEMcZUQpNgKrkDzJpbnNS.jpg,Tasked with extracting a family who is at the mercy of a Georgian gangster Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot and the gangster dies in the heat of battle his equally ruthless brother tracks down Rake and his team to Vienna in order to get revenge.
22,758009,Shotgun Wedding,wedding hostage situation Action Romance Comedy JenniferLopez JoshDuhamel JenniferCoolidge SôniaBraga LennyKravitz JasonMoore,618.0,/t79ozwWnwekO0ADIzsFP1E5SkvR.jpg,Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage “’Til Death Do Us Part” takes on a whole new meaning in this hilarious adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.
24,447365,Guardians of the Galaxy Vol. 3,hero sequel superhero based on comic mad scientist superhero team space opera raccoon aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) cosmic outer space chosen family Action Science Fiction Adventure ChrisPratt ZoeSaldaña DaveBautista KarenGillan PomKlementieff JamesGunn,2139.0,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,Peter Quill still reeling from the loss of Gamora must rally his team around him to defend the universe along with protecting one of their own. A mission that if not completed successfully could quite possibly lead to the end of the Guardians as we know them.
25,762430,Retribution,bomb assassination remake divorce duringcreditsstinger phone call berlin Action Mystery Thriller Crime LiamNeeson NomaDumezweni LillyAspell JackChampion ArianMoayed NimródAntal,341.0,/ljl70pjLIX1hx3bPyCCbxGj6WPr.jpg,When a mysterious caller puts a bomb under his car seat Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.
28,420808,Peter Pan & Wendy,island magic fairy fairy tale peter pan immortality remake pirate based on children's book fantasy world live action remake Family Fantasy Action Adventure AlexanderMolony EverAnderson JudeLaw AlyssaWapanatâhk JimGaffigan DavidLowery,367.0,/8naZFKLQxhsYfvgveSP9Xw7Jv1B.jpg,Wendy Darling a young girl afraid to leave her childhood home behind meets Peter Pan a boy who refuses to grow up. Alongside her brothers and a tiny fairy Tinker Bell she travels with Peter to the magical world of Neverland. There she encounters an evil pirate captain Captain Hook and embarks on a thrilling adventure that will change her life forever.
29,315162,Puss in Boots: The Last Wish,fairy tale talking dog spin off aftercreditsstinger talking cat fear of death Animation Family Fantasy Adventure Comedy AntonioBanderas SalmaHayekPinault HarveyGuillén WagnerMoura FlorencePugh JoelCrawford,5759.0,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.
31,635910,The Last Voyage of the Demeter,based on novel or book vampire ship gothic horror dracula Horror Fantasy CoreyHawkins AislingFranciosi LiamCunningham DavidDastmalchian ChrisWalley AndréØvredal,465.0,/nrtbv6Cew7qC7k9GsYSf5uSmuKh.jpg,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.
32,882569,Guy Ritchie's The Covenant,ambush interpreter afghanistan afghanistan war (2001  ) rescue war War Action Thriller JakeGyllenhaal DarSalim AntonyStarr AlexanderLudwig JonnyLeeMiller GuyRitchie,657.0,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg,During the war in Afghanistan a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.
33,346698,Barbie,feminism patriarchy satire based on toy female protagonist doll ghost fantasy world motherhood existentialism woman director mother daughter relationship gender discrimination barbie secret world Comedy Adventure Fantasy MargotRobbie RyanGosling AmericaFerrera KateMcKinnon ArianaGreenblatt GretaGerwig,5336.0,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However when they get a chance to go to the real world they soon discover the joys and perils of living among humans.
